Date,Account,Amount,Subcategory,Memo
2023-12-01,20-53-97 30728691,-736.02,Direct Debit,TOPAZ RE SIBERITE     SIB00001/480016104 DD
2023-12-01,60-83-71 00558156,-100.0,REPAIRS_AND_MAINTENANCE,Lordswood Estates M Tucker SC 
2023-12-01,20-74-09 60458872,-8.99,Card Purchase,AMZNMktplace          ON 01 DEC BCC
2023-12-01,20-74-09 60458872,-50.0,Standing Order,NATIONWIDE            0604/229172770 STO
2023-12-01,20-74-09 60458872,-300.0,Direct Debit,HMRC NDDS             107381630763843259 DD
2023-12-01,20-74-09 60458872,-37.46,Direct Debit,EE LIMITED            Q13077400473969886 DD
2023-12-01,20-74-09 60458872,-40.95,Direct Debit,PIC RE ARGOS PET      PETAG934657920001 DDR
2023-12-01,60-83-71 00558156,100.0,REVENUE,Lordswood Estates M Tucker SC 
2023-12-01,60-83-71 00558156,-465.0,REPAIRS_AND_MAINTENANCE,Alhambra Road M Tucker SC 
2023-12-01,20-74-09 40406538,-106.5,Direct Debit,CLUB TOWERS LTD       3QXSY9V DDR
2023-12-01,20-74-09 40406538,-1.0,Contactless Card Purchase,MILTON KEYNES PARK    ON 30 NOV CLP
2023-12-01,20-74-09 40406538,-11.99,Contactless Card Purchase,SPECSAVERS            ON 30 NOV CLP
2023-12-01,20-74-09 40406538,500.0,Counter Credit,M Tucker              M TUCKER BGC
2023-12-01,20-53-97 30728691,-582.44,Direct Debit,TOPAZ FIN JASPER      PRU00010/190859005 DD
2023-12-01,20-53-97 30728691,-1054.15,Direct Debit,HESSONITE MORTGAGE    TND00001/631516204 DD
2023-12-01,20-53-97 30728691,-411.28,Direct Debit,CHL HOME LOAN         CHL00002/907371904 DD
2023-12-01,20-53-97 30728691,-408.88,Direct Debit,CHL HOME LOAN         CHL00002/907372200 DD
2023-12-01,20-53-97 30728691,6367.49,Counter Credit,Rsa Capital Limite    Mortgages BGC
2023-12-01,60-83-71 00558156,-320.0,REPAIRS_AND_MAINTENANCE,Alhambra Road M Tucker SC 
2023-12-01,60-83-71 00558156,600.0,REVENUE,NATSO P BILL 
2023-12-01,60-83-71 00558156,-315.0,REPAIRS_AND_MAINTENANCE,ALHHAMBRA ROAD M Tucker SC 
2023-12-01,60-83-71 00558156,845.0,REVENUE,Martin Bristow MJB Rent Dec 
2023-12-01,60-83-71 00558156,-90.0,REPAIRS_AND_MAINTENANCE,Aggar E 1 171  access 
2023-12-01,60-83-71 00558156,-6367.49,INTEREST_PAYMENTS,Ivana Valentino Mortgages 
2023-12-02,60-83-71 00558156,925.0,REVENUE,MANGATTU KIZ Rent 
2023-12-03,60-83-71 00558156,30.0,REVENUE,M Gregson  
2023-12-04,20-74-09 40406538,-12.56,Contactless Card Purchase,BUDGENS               ON 02 DEC CLP
